NAME,VERY_POSITIVE,POSITIVE,NEUTRAL,NEGATIVE,VERY_NEGATIVE
B000KX0ISG.html,67,355,146,504,32
B000KX0ISQ.html,57,251,74,238,8
B000LC55F2.html,152,904,307,1300,45
B000LPR9ZS.html,11,176,145,567,39
B000LVAQDE.html,32,178,96,402,18
B000M06KJ8.html,51,346,177,683,53
B000M8X200.html,62,402,132,513,20
B000M9BPEY.html,146,585,174,566,17
B000M53GMC.html,59,331,103,431,20
B000ML11RI.html,144,912,340,1607,81
B000MMMTAK.html,53,448,272,1101,49
B000MQ54OO.html,61,349,174,634,32
B000MQ54OY.html,61,349,174,634,32
B000MQC9H4.html,40,312,136,462,26
B000MS3YXU.html,75,493,231,882,40
B000MXJ7LS.html,55,311,166,732,38
B000MXPE7O.html,36,277,159,814,42
B000MXPE7Y.html,36,277,159,814,42
B000MZHW1S.html,96,503,223,903,33
B000N6U0DS.html,89,475,211,732,35
B000N6U0E2.html,89,475,211,732,35
B000NA22C6.html,54,295,129,633,37
B000NI8F5G.html,74,373,126,454,15
B000NIVJF4.html,64,454,142,756,28
B000NOK0GM.html,70,447,218,739,22
B000NQQ4ME.html,120,625,275,1192,50
B000NQRV4O.html,89,633,298,1143,57
B000O1F6K4.html,35,241,98,381,19
B000O76T7C.html,121,496,163,707,26
B000O76T7M.html,52,489,341,1245,92
B000O77R6O.html,67,362,115,561,27
B000O77RLE.html,54,301,146,726,31
B000O174CM.html,71,327,106,481,22
B000OLV97I.html,25,218,174,671,28
B000OVLBEO.html,31,409,197,937,52
B000OVLBEY.html,31,409,197,937,52
B000OW77UU.html,89,475,211,732,35
B000P0J0EM.html,73,388,109,519,19
B000P0XJXA.html,37,206,103,377,17
B000P6R5Y8.html,36,237,94,389,17
B000PAAJVA.html,48,220,108,416,18
B000PMLJN0.html,16,159,83,421,29
B000Q7ZND6.html,54,428,214,1051,64
B000Q79HS8.html,72,486,216,1039,39
B000Q79HTC.html,120,554,178,913,24
B000Q99EAC.html,60,496,152,916,37
B000Q678OO.html,54,310,126,557,15
B000QE1U9K.html,41,323,149,673,38
B000QE9ERU.html,41,371,193,865,40
B000QFCD7W.html,35,211,65,310,16
B000QGDYZQ.html,18,164,141,509,28
B000QQH4YS.html,26,183,95,392,17
B000R209NY.html,30,277,173,787,52
B000RHLY7E.html,31,246,145,651,54
B000RHLY8I.html,39,332,145,726,26
B000RJO58M.html,65,344,122,513,19
B000RJO582.html,62,550,268,1128,54
B000RLFBP6.html,26,183,95,392,17
B000SVZIS0.html,34,220,103,521,31
B000SW164O.html,16,152,80,378,23
B000T5O48K.html,22,218,116,560,28
B000T4349G.html,37,281,191,803,48
B000TGJ8CQ.html,42,260,130,535,35
B000TJ6PBK.html,49,307,158,702,35
B000TJBN80.html,25,301,182,877,56
B000UAE7O0.html,32,207,89,424,29
B000UIVRXG.html,65,344,122,513,19
B000UJ48PE.html,7,145,104,448,33
B000UR9T7I.html,69,559,329,1312,78
B000USU9E4.html,33,208,94,477,18
B000V1Z8KK.html,34,288,148,596,20
B000VALY54.html,47,265,84,362,20
B000VBJEFK.html,141,688,197,938,19
B000VDDES6.html,37,341,150,609,39
B000VDDWE2.html,63,552,324,1233,95
B000VDDWEC.html,63,370,195,947,57
B000VDDWEM.html,25,301,182,877,56
B000VECACG.html,91,371,136,474,9
B000VKL6Z2.html,37,408,302,1139,58
B000VKL6ZC.html,37,408,302,1139,58
B000VSYDRM.html,54,277,85,465,23
B000VY1EYQ.html,56,293,93,430,15
B000W1V5VU.html,46,229,97,438,38
B000W4HJ44.html,90,417,127,542,24
B000WX5KA0.html,74,311,145,501,24
B000XJSL9U.html,78,556,283,1318,62
B000XQ0QW8.html,78,488,202,746,26
B000Y7WGP6.html,45,236,113,611,32
B000YAF4MA.html,47,247,123,355,6
B000YENUI6.html,95,550,188,846,34
B000YGIHOG.html,25,301,182,877,56
B000YH6YG8.html,43,193,86,386,19
B000YHBEPO.html,34,424,184,822,40
B000YHG72E.html,78,332,131,391,11
B000Z8GZYW.html,65,310,128,344,7
B000Z8KAUM.html,46,229,97,438,38
B000ZLFALI.html,55,306,113,539,32
B000ZLFALS.html,55,306,113,539,32
B000ZLJOW4.html,48,272,108,527,22
B000ZN803G.html,77,465,208,740,30
B000ZN8036.html,77,465,208,740,30
B0000A5BTG.html,9,200,135,488,29
B0000ABPLG.html,64,291,166,562,25
B0000AOWNJ.html,33,221,107,403,22
B0000C24F3.html,41,323,149,673,38
B0000C24IJ.html,11,161,116,472,22
B0000CC798.html,84,474,142,713,32
B0000CGD0X.html,102,586,307,960,26
B0000D0XZ4.html,52,399,192,939,62
B0000DC3VK.html,29,245,117,556,32
B0000DJF2S.html,29,245,117,556,32
